"exp","id","block","trial","isold","condition1","condition2","rating","RT_CONF","RT_ON","excluding"
"ZSB2021_e1","ZSB2021_e1_19",3,48,0,"older","RecogFirst",2,121,5165,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,49,1,"older","RecogFirst",12,480,2839,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,50,1,"older","RecogFirst",12,407,2712,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,51,0,"older","RecogFirst",3,146,9457,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,52,1,"older","RecogFirst",12,383,1495,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,53,0,"older","RecogFirst",3,19,8434,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,54,1,"older","RecogFirst",12,90,2149,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,55,0,"older","RecogFirst",1,2850,1857,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,56,0,"older","RecogFirst",11,159,4555,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,57,0,"older","RecogFirst",3,297,4140,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,58,0,"older","RecogFirst",12,248,5281,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,59,0,"older","RecogFirst",11,951,8713,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,60,1,"older","RecogFirst",12,135,2380,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,61,1,"older","RecogFirst",12,58,1341,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,62,0,"older","RecogFirst",11,167,2747,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,63,1,"older","RecogFirst",3,2473,2315,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,64,1,"older","RecogFirst",11,1,11481,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,65,1,"older","RecogFirst",12,91,1675,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,66,1,"older","RecogFirst",12,36,2235,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,67,0,"older","RecogFirst",3,553,17365,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,68,0,"older","RecogFirst",5,1367,5046,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,69,1,"older","RecogFirst",4,414,7595,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,70,1,"older","RecogFirst",3,487,6697,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,71,1,"older","RecogFirst",3,229,11319,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,72,1,"older","RecogFirst",3,71,9255,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,73,0,"older","RecogFirst",4,6368,2847,"Include"
"ZSB2021_e1","ZSB2021_e1_19",3,74,0,"older","RecogFirst",11,2911,5812,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,36,1,"older","RecogFirst",3,1512,6730,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,37,1,"older","RecogFirst",12,705,2199,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,38,1,"older","RecogFirst",12,615,1504,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,39,0,"older","RecogFirst",1,2625,1889,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,40,1,"older","RecogFirst",3,647,11555,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,41,1,"older","RecogFirst",3,552,5097,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,42,0,"older","RecogFirst",12,609,3149,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,43,0,"older","RecogFirst",3,545,3748,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,44,1,"older","RecogFirst",12,568,1830,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,45,0,"older","RecogFirst",1,483,3884,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,46,1,"older","RecogFirst",12,1425,3139,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,47,0,"older","RecogFirst",1,1915,2451,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,48,0,"older","RecogFirst",11,801,4106,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,49,0,"older","RecogFirst",1,503,1795,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,50,0,"older","RecogFirst",3,232,8405,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,51,0,"older","RecogFirst",3,467,7642,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,52,0,"older","RecogFirst",11,267,3683,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,53,1,"older","RecogFirst",12,517,3427,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,54,0,"older","RecogFirst",3,980,14851,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,55,0,"older","RecogFirst",11,447,4504,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,56,1,"older","RecogFirst",12,463,4912,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,57,1,"older","RecogFirst",11,1233,4615,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,58,1,"older","RecogFirst",11,840,1947,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,59,0,"older","RecogFirst",3,49,15473,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,60,0,"older","RecogFirst",3,3950,3178,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,61,1,"older","RecogFirst",12,1496,3731,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,62,0,"older","RecogFirst",3,621,11335,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,63,0,"older","RecogFirst",11,184,5231,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,64,1,"older","RecogFirst",3,148,8851,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,65,1,"older","RecogFirst",12,254,2953,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,66,0,"older","RecogFirst",12,112,1847,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,67,1,"older","RecogFirst",12,175,1663,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,68,0,"older","RecogFirst",2,1928,4363,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,69,1,"older","RecogFirst",11,137,3806,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,70,1,"older","RecogFirst",3,1702,18870,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,71,1,"older","RecogFirst",11,310,13845,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,72,1,"older","RecogFirst",3,1401,7557,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,73,0,"older","RecogFirst",11,135,6796,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,74,0,"older","RecogFirst",12,2284,2285,"Include"
"ZSB2021_e1","ZSB2021_e1_19",1,75,1,"older","RecogFirst",12,82,1307,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,35,0,"older","RecogFirst",12,1523,3267,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,36,1,"older","RecogFirst",12,503,1529,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,37,0,"older","RecogFirst",3,803,2750,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,38,0,"older","RecogFirst",3,293,9085,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,39,1,"older","RecogFirst",12,473,1732,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,40,1,"older","RecogFirst",12,296,2105,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,41,0,"older","RecogFirst",3,623,10487,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,42,0,"older","RecogFirst",11,352,4089,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,43,1,"older","RecogFirst",3,2776,4789,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,44,1,"older","RecogFirst",10,131,5100,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,45,0,"older","RecogFirst",1,781,2369,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,46,1,"older","RecogFirst",10,657,11649,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,47,0,"older","RecogFirst",1,931,2258,"Include"
