"exp","id","trial","isold","rating","excluding"
"NFR2013_e2","NFR2013_e2_1",1,0,5,"Include"
"NFR2013_e2","NFR2013_e2_1",2,1,2,"Include"
"NFR2013_e2","NFR2013_e2_1",3,1,4,"Include"
"NFR2013_e2","NFR2013_e2_1",4,0,6,"Include"
"NFR2013_e2","NFR2013_e2_1",5,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",6,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",7,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",8,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",9,1,3,"Include"
"NFR2013_e2","NFR2013_e2_1",10,1,4,"Include"
"NFR2013_e2","NFR2013_e2_1",11,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",12,0,1,"Include"
"NFR2013_e2","NFR2013_e2_1",13,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",14,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",15,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",16,1,3,"Include"
"NFR2013_e2","NFR2013_e2_1",17,1,3,"Include"
"NFR2013_e2","NFR2013_e2_1",18,0,5,"Include"
"NFR2013_e2","NFR2013_e2_1",19,0,5,"Include"
"NFR2013_e2","NFR2013_e2_1",20,0,5,"Include"
"NFR2013_e2","NFR2013_e2_1",21,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",22,0,4,"Include"
"NFR2013_e2","NFR2013_e2_1",23,0,4,"Include"
"NFR2013_e2","NFR2013_e2_1",24,0,2,"Include"
"NFR2013_e2","NFR2013_e2_1",25,0,1,"Include"
"NFR2013_e2","NFR2013_e2_1",26,1,4,"Include"
"NFR2013_e2","NFR2013_e2_1",27,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",28,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",29,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",30,0,5,"Include"
"NFR2013_e2","NFR2013_e2_1",31,0,4,"Include"
"NFR2013_e2","NFR2013_e2_1",32,0,6,"Include"
"NFR2013_e2","NFR2013_e2_1",33,1,2,"Include"
"NFR2013_e2","NFR2013_e2_1",34,1,4,"Include"
"NFR2013_e2","NFR2013_e2_1",35,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",36,0,2,"Include"
"NFR2013_e2","NFR2013_e2_1",37,0,1,"Include"
"NFR2013_e2","NFR2013_e2_1",38,0,1,"Include"
"NFR2013_e2","NFR2013_e2_1",39,1,4,"Include"
"NFR2013_e2","NFR2013_e2_1",40,1,3,"Include"
"NFR2013_e2","NFR2013_e2_1",41,0,2,"Include"
"NFR2013_e2","NFR2013_e2_1",42,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",43,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",44,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",45,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",46,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",47,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",48,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",49,1,3,"Include"
"NFR2013_e2","NFR2013_e2_1",50,1,2,"Include"
"NFR2013_e2","NFR2013_e2_1",51,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",52,0,2,"Include"
"NFR2013_e2","NFR2013_e2_1",53,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",54,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",55,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",56,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",57,1,3,"Include"
"NFR2013_e2","NFR2013_e2_1",58,0,5,"Include"
"NFR2013_e2","NFR2013_e2_1",59,0,2,"Include"
"NFR2013_e2","NFR2013_e2_1",60,0,5,"Include"
"NFR2013_e2","NFR2013_e2_1",61,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",62,0,4,"Include"
"NFR2013_e2","NFR2013_e2_1",63,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",64,0,4,"Include"
"NFR2013_e2","NFR2013_e2_1",65,0,2,"Include"
"NFR2013_e2","NFR2013_e2_1",66,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",67,1,6,"Include"
"NFR2013_e2","NFR2013_e2_1",68,0,2,"Include"
"NFR2013_e2","NFR2013_e2_1",69,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",70,0,2,"Include"
"NFR2013_e2","NFR2013_e2_1",71,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",72,0,4,"Include"
"NFR2013_e2","NFR2013_e2_1",73,1,1,"Include"
"NFR2013_e2","NFR2013_e2_1",74,1,4,"Include"
"NFR2013_e2","NFR2013_e2_1",75,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",76,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",77,0,3,"Include"
"NFR2013_e2","NFR2013_e2_1",78,0,4,"Include"
"NFR2013_e2","NFR2013_e2_1",79,1,5,"Include"
"NFR2013_e2","NFR2013_e2_1",80,1,4,"Include"
"NFR2013_e2","NFR2013_e2_1",81,0,4,"Include"
"NFR2013_e2","NFR2013_e2_1",82,1,6,"Include"
