"exp","id","isold","rating","excluding"
"BTL2013_e1","BTL2013_e1_1",1,1,"Include"
"BTL2013_e1","BTL2013_e1_1",1,1,"Include"
"BTL2013_e1","BTL2013_e1_1",1,1,"Include"
"BTL2013_e1","BTL2013_e1_1",1,2,"Include"
"BTL2013_e1","BTL2013_e1_1",1,2,"Include"
"BTL2013_e1","BTL2013_e1_1",1,3,"Include"
"BTL2013_e1","BTL2013_e1_1",1,3,"Include"
"BTL2013_e1","BTL2013_e1_1",1,3,"Include"
"BTL2013_e1","BTL2013_e1_1",1,3,"Include"
"BTL2013_e1","BTL2013_e1_1",1,3,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,4,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,5,"Include"
"BTL2013_e1","BTL2013_e1_1",1,6,"Include"
"BTL2013_e1","BTL2013_e1_1",1,6,"Include"
"BTL2013_e1","BTL2013_e1_1",1,6,"Include"
"BTL2013_e1","BTL2013_e1_1",1,6,"Include"
"BTL2013_e1","BTL2013_e1_1",1,7,"Include"
"BTL2013_e1","BTL2013_e1_1",1,7,"Include"
"BTL2013_e1","BTL2013_e1_1",1,7,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
"BTL2013_e1","BTL2013_e1_1",1,8,"Include"
