"exp","id","item","isold","condition1","rating","RT","excluding","trial"
"FO2016_e2b","FO2016_e2b_9","inhabitant",1,"Aloud",5,4362,"Include",74
"FO2016_e2b","FO2016_e2b_9","glory",0,"Aloud",2,1386,"Include",75
"FO2016_e2b","FO2016_e2b_9","door",1,"Aloud",6,1762,"Include",76
"FO2016_e2b","FO2016_e2b_9","wheat",1,"Aloud",6,1098,"Include",77
"FO2016_e2b","FO2016_e2b_9","baron",0,"Aloud",2,2130,"Include",78
"FO2016_e2b","FO2016_e2b_9","interest",0,"Aloud",3,1626,"Include",79
"FO2016_e2b","FO2016_e2b_9","ankle",1,"Aloud",6,882,"Include",80
"FO2016_e2b","FO2016_e2b_9","comparison",1,"Aloud",3,3202,"Include",81
"FO2016_e2b","FO2016_e2b_9","welfare",1,"Aloud",4,1322,"Include",82
"FO2016_e2b","FO2016_e2b_9","decree",1,"Aloud",5,2218,"Include",83
"FO2016_e2b","FO2016_e2b_9","captive",0,"Aloud",3,1978,"Include",84
"FO2016_e2b","FO2016_e2b_9","king",0,"Aloud",2,2386,"Include",85
"FO2016_e2b","FO2016_e2b_9","cellar",0,"Aloud",2,1482,"Include",86
"FO2016_e2b","FO2016_e2b_9","gentleman",1,"Aloud",6,978,"Include",87
"FO2016_e2b","FO2016_e2b_9","sauce",0,"Aloud",3,2210,"Include",88
"FO2016_e2b","FO2016_e2b_9","cabin",1,"Aloud",6,1050,"Include",89
"FO2016_e2b","FO2016_e2b_9","mind",0,"Aloud",2,2706,"Include",90
"FO2016_e2b","FO2016_e2b_9","law",0,"Aloud",1,1650,"Include",91
"FO2016_e2b","FO2016_e2b_9","nail",1,"Aloud",6,842,"Include",92
"FO2016_e2b","FO2016_e2b_9","prayer",0,"Aloud",2,1994,"Include",93
"FO2016_e2b","FO2016_e2b_9","time",1,"Aloud",6,1890,"Include",94
"FO2016_e2b","FO2016_e2b_9","product",1,"Aloud",6,1186,"Include",95
"FO2016_e2b","FO2016_e2b_9","queen",1,"Aloud",6,1522,"Include",96
"FO2016_e2b","FO2016_e2b_9","fork",0,"Aloud",1,2794,"Include",97
"FO2016_e2b","FO2016_e2b_9","idea",1,"Aloud",6,1146,"Include",98
"FO2016_e2b","FO2016_e2b_9","hammer",1,"Aloud",4,2778,"Include",99
"FO2016_e2b","FO2016_e2b_9","majority",0,"Aloud",3,2570,"Include",100
"FO2016_e2b","FO2016_e2b_9","woods",1,"Aloud",6,826,"Include",101
"FO2016_e2b","FO2016_e2b_9","moment",0,"Aloud",2,2266,"Include",102
"FO2016_e2b","FO2016_e2b_9","claw",0,"Aloud",4,1586,"Include",103
"FO2016_e2b","FO2016_e2b_9","diamond",1,"Aloud",6,1578,"Include",104
"FO2016_e2b","FO2016_e2b_9","deed",0,"Aloud",2,1914,"Include",105
"FO2016_e2b","FO2016_e2b_9","sickness",0,"Aloud",1,1186,"Include",106
"FO2016_e2b","FO2016_e2b_9","camp",1,"Aloud",3,2018,"Include",107
"FO2016_e2b","FO2016_e2b_9","confidence",1,"Aloud",4,1466,"Include",108
"FO2016_e2b","FO2016_e2b_9","winter",1,"Aloud",3,2322,"Include",109
"FO2016_e2b","FO2016_e2b_9","attendant",1,"Aloud",6,962,"Include",110
"FO2016_e2b","FO2016_e2b_9","rod",0,"Aloud",2,1362,"Include",111
"FO2016_e2b","FO2016_e2b_9","butterfly",0,"Aloud",2,1578,"Include",112
"FO2016_e2b","FO2016_e2b_9","charm",0,"Aloud",3,1418,"Include",113
"FO2016_e2b","FO2016_e2b_9","arm",1,"Aloud",2,1954,"Include",114
"FO2016_e2b","FO2016_e2b_9","hope",1,"Aloud",6,1474,"Include",115
"FO2016_e2b","FO2016_e2b_9","sugar",1,"Aloud",6,1499,"Include",116
"FO2016_e2b","FO2016_e2b_9","revolt",1,"Aloud",6,1970,"Include",117
"FO2016_e2b","FO2016_e2b_9","wine",0,"Aloud",1,1346,"Include",118
"FO2016_e2b","FO2016_e2b_9","vapour",0,"Aloud",3,3682,"Include",119
"FO2016_e2b","FO2016_e2b_9","car",0,"Aloud",4,2282,"Include",120
"FO2016_e2b","FO2016_e2b_9","boss",0,"Aloud",3,1498,"Include",121
"FO2016_e2b","FO2016_e2b_9","tobacco",1,"Aloud",6,946,"Include",122
"FO2016_e2b","FO2016_e2b_9","army",0,"Aloud",3,1610,"Include",123
"FO2016_e2b","FO2016_e2b_9","harness",0,"Aloud",5,1474,"Include",124
"FO2016_e2b","FO2016_e2b_9","elephant",1,"Aloud",6,1034,"Include",125
"FO2016_e2b","FO2016_e2b_9","flesh",0,"Aloud",2,1938,"Include",126
"FO2016_e2b","FO2016_e2b_9","drama",0,"Aloud",3,1258,"Include",127
"FO2016_e2b","FO2016_e2b_9","lake",0,"Aloud",3,1138,"Include",128
"FO2016_e2b","FO2016_e2b_9","lark",1,"Aloud",6,922,"Include",129
"FO2016_e2b","FO2016_e2b_9","brain",1,"Aloud",6,922,"Include",130
"FO2016_e2b","FO2016_e2b_9","fisherman",1,"Aloud",6,1226,"Include",131
"FO2016_e2b","FO2016_e2b_9","money",0,"Aloud",2,3162,"Include",132
"FO2016_e2b","FO2016_e2b_9","frog",1,"Aloud",2,1986,"Include",133
"FO2016_e2b","FO2016_e2b_9","master",1,"Aloud",6,1282,"Include",134
"FO2016_e2b","FO2016_e2b_9","link",1,"Aloud",6,1010,"Include",135
"FO2016_e2b","FO2016_e2b_9","ambassador",0,"Aloud",6,1858,"Include",136
"FO2016_e2b","FO2016_e2b_9","priest",0,"Aloud",3,3818,"Include",137
"FO2016_e2b","FO2016_e2b_9","bowl",0,"Aloud",3,1458,"Include",138
"FO2016_e2b","FO2016_e2b_9","cotton",0,"Aloud",1,1706,"Include",139
"FO2016_e2b","FO2016_e2b_9","conquest",1,"Aloud",6,1194,"Include",140
"FO2016_e2b","FO2016_e2b_9","instance",1,"Aloud",2,2178,"Include",141
"FO2016_e2b","FO2016_e2b_9","beaver",1,"Aloud",6,1187,"Include",142
"FO2016_e2b","FO2016_e2b_9","shadow",0,"Aloud",2,3274,"Include",143
"FO2016_e2b","FO2016_e2b_9","steam",1,"Aloud",6,866,"Include",144
"FO2016_e2b","FO2016_e2b_9","convention",0,"Aloud",4,1434,"Include",145
"FO2016_e2b","FO2016_e2b_9","mercy",1,"Aloud",4,2210,"Include",146
"FO2016_e2b","FO2016_e2b_9","gallery",1,"Aloud",2,2714,"Include",147
"FO2016_e2b","FO2016_e2b_9","lecture",1,"Aloud",6,1090,"Include",148
"FO2016_e2b","FO2016_e2b_9","sovereign",1,"Aloud",3,2122,"Include",149
"FO2016_e2b","FO2016_e2b_9","affection",0,"Aloud",4,2722,"Include",150
"FO2016_e2b","FO2016_e2b_9","banker",1,"Aloud",2,3402,"Include",151
"FO2016_e2b","FO2016_e2b_9","virtue",0,"Aloud",2,1074,"Include",152
"FO2016_e2b","FO2016_e2b_9","earth",0,"Aloud",2,962,"Include",153
"FO2016_e2b","FO2016_e2b_9","book",1,"Aloud",3,2634,"Include",154
"FO2016_e2b","FO2016_e2b_9","love",1,"Aloud",6,1274,"Include",155
"FO2016_e2b","FO2016_e2b_9","tribute",1,"Aloud",6,2058,"Include",156
"FO2016_e2b","FO2016_e2b_9","speech",1,"Aloud",2,2538,"Include",157
"FO2016_e2b","FO2016_e2b_9","hatred",1,"Aloud",4,1594,"Include",158
"FO2016_e2b","FO2016_e2b_9","tower",0,"Aloud",4,3330,"Include",159
"FO2016_e2b","FO2016_e2b_9","custom",1,"Aloud",2,2098,"Include",160
"FO2016_e2b","FO2016_e2b_9","child",0,"Aloud",1,1098,"Include",161
"FO2016_e2b","FO2016_e2b_9","scarlet",1,"Aloud",6,1026,"Include",162
"FO2016_e2b","FO2016_e2b_9","corner",1,"Aloud",6,1386,"Include",163
"FO2016_e2b","FO2016_e2b_9","reflection",0,"Aloud",3,3146,"Include",164
"FO2016_e2b","FO2016_e2b_9","baby",0,"Aloud",1,3543,"Include",165
"FO2016_e2b","FO2016_e2b_9","grandmother",1,"Aloud",6,1018,"Include",166
"FO2016_e2b","FO2016_e2b_9","person",0,"Aloud",2,4778,"Include",167
"FO2016_e2b","FO2016_e2b_9","thief",0,"Aloud",2,1514,"Include",168
"FO2016_e2b","FO2016_e2b_9","slave",0,"Aloud",3,1562,"Include",169
"FO2016_e2b","FO2016_e2b_9","sea",1,"Aloud",6,1354,"Include",170
"FO2016_e2b","FO2016_e2b_9","sunset",1,"Aloud",4,1858,"Include",171
"FO2016_e2b","FO2016_e2b_9","victim",0,"Aloud",2,1810,"Include",172
"FO2016_e2b","FO2016_e2b_9","chair",1,"Aloud",1,2306,"Include",173
"FO2016_e2b","FO2016_e2b_9","shame",0,"Aloud",3,1602,"Include",174
"FO2016_e2b","FO2016_e2b_9","appearance",0,"Aloud",3,1394,"Include",175
"FO2016_e2b","FO2016_e2b_9","star",0,"Aloud",4,1274,"Include",176
"FO2016_e2b","FO2016_e2b_9","necessity",1,"Aloud",5,3490,"Include",177
"FO2016_e2b","FO2016_e2b_9","moral",0,"Aloud",2,2130,"Include",178
"FO2016_e2b","FO2016_e2b_9","ticket",1,"Aloud",2,1586,"Include",179
"FO2016_e2b","FO2016_e2b_9","meeting",0,"Aloud",2,1130,"Include",180
"FO2016_e2b","FO2016_e2b_9","contents",1,"Aloud",3,3634,"Include",181
"FO2016_e2b","FO2016_e2b_9","jail",0,"Aloud",3,2034,"Include",182
"FO2016_e2b","FO2016_e2b_9","wife",1,"Aloud",6,1138,"Include",183
"FO2016_e2b","FO2016_e2b_9","series",0,"Aloud",2,2314,"Include",184
"FO2016_e2b","FO2016_e2b_9","poetry",0,"Aloud",1,1162,"Include",185
"FO2016_e2b","FO2016_e2b_9","hint",0,"Aloud",2,1650,"Include",186
"FO2016_e2b","FO2016_e2b_9","assault",1,"Aloud",6,1106,"Include",187
"FO2016_e2b","FO2016_e2b_9","clock",1,"Aloud",6,2434,"Include",188
"FO2016_e2b","FO2016_e2b_9","forest",1,"Aloud",6,1074,"Include",189
"FO2016_e2b","FO2016_e2b_9","foam",0,"Aloud",2,1562,"Include",190
"FO2016_e2b","FO2016_e2b_9","tablespoon",1,"Aloud",6,1938,"Include",191
"FO2016_e2b","FO2016_e2b_9","ocean",1,"Aloud",2,1746,"Include",192
"FO2016_e2b","FO2016_e2b_9","beggar",0,"Aloud",1,1506,"Include",193
"FO2016_e2b","FO2016_e2b_9","effort",1,"Aloud",5,1706,"Include",194
"FO2016_e2b","FO2016_e2b_9","substitute",1,"Aloud",6,1690,"Include",195
"FO2016_e2b","FO2016_e2b_9","journal",1,"Aloud",3,2666,"Include",196
"FO2016_e2b","FO2016_e2b_9","joke",0,"Aloud",1,1354,"Include",197
"FO2016_e2b","FO2016_e2b_9","prison",1,"Aloud",4,1802,"Include",198
"FO2016_e2b","FO2016_e2b_9","vessel",0,"Aloud",2,3050,"Include",199
"FO2016_e2b","FO2016_e2b_9","maker",1,"Aloud",3,1738,"Include",200
"FO2016_e2b","FO2016_e2b_9","marriage",1,"Aloud",6,1258,"Include",201
"FO2016_e2b","FO2016_e2b_9","facility",1,"Aloud",5,1426,"Include",202
"FO2016_e2b","FO2016_e2b_9","creature",0,"Aloud",4,2010,"Include",203
"FO2016_e2b","FO2016_e2b_9","grief",0,"Aloud",2,1898,"Include",204
"FO2016_e2b","FO2016_e2b_9","misery",1,"Aloud",3,1290,"Include",205
"FO2016_e2b","FO2016_e2b_9","tomb",1,"Aloud",6,1610,"Include",206
"FO2016_e2b","FO2016_e2b_9","chance",1,"Aloud",4,1818,"Include",207
"FO2016_e2b","FO2016_e2b_9","anxiety",1,"Aloud",6,1074,"Include",208
"FO2016_e2b","FO2016_e2b_9","cash",1,"Aloud",6,1066,"Include",209
"FO2016_e2b","FO2016_e2b_9","honour",1,"Aloud",6,898,"Include",210
"FO2016_e2b","FO2016_e2b_9","soil",0,"Aloud",3,1234,"Include",211
"FO2016_e2b","FO2016_e2b_9","justice",1,"Aloud",6,954,"Include",212
"FO2016_e2b","FO2016_e2b_9","pupil",1,"Aloud",5,1226,"Include",213
"FO2016_e2b","FO2016_e2b_9","item",1,"Aloud",5,1714,"Include",214
"FO2016_e2b","FO2016_e2b_9","science",1,"Aloud",5,1402,"Include",215
"FO2016_e2b","FO2016_e2b_9","sky",0,"Aloud",2,1210,"Include",216
"FO2016_e2b","FO2016_e2b_9","boulder",1,"Aloud",6,1034,"Include",217
"FO2016_e2b","FO2016_e2b_9","costume",0,"Aloud",2,2642,"Include",218
"FO2016_e2b","FO2016_e2b_9","bosom",0,"Aloud",1,2378,"Include",219
"FO2016_e2b","FO2016_e2b_9","party",1,"Aloud",6,1074,"Include",220
"FO2016_e2b","FO2016_e2b_9","stone",1,"Aloud",6,1194,"Include",221
"FO2016_e2b","FO2016_e2b_9","iron",0,"Aloud",4,1322,"Include",222
"FO2016_e2b","FO2016_e2b_9","picture",1,"Aloud",4,1818,"Include",223
"FO2016_e2b","FO2016_e2b_9","church",0,"Aloud",4,1186,"Include",224
"FO2016_e2b","FO2016_e2b_9","cat",0,"Aloud",1,2634,"Include",225
"FO2016_e2b","FO2016_e2b_9","library",1,"Aloud",6,1042,"Include",226
"FO2016_e2b","FO2016_e2b_9","jury",0,"Aloud",2,1682,"Include",227
"FO2016_e2b","FO2016_e2b_9","quality",0,"Aloud",4,3786,"Include",228
"FO2016_e2b","FO2016_e2b_9","rock",0,"Aloud",2,2058,"Include",229
"FO2016_e2b","FO2016_e2b_9","array",1,"Aloud",5,2218,"Include",230
"FO2016_e2b","FO2016_e2b_9","grass",1,"Aloud",3,1546,"Include",231
"FO2016_e2b","FO2016_e2b_9","menace",0,"Aloud",4,1322,"Include",232
"FO2016_e2b","FO2016_e2b_9","sensation",1,"Aloud",5,1522,"Include",233
"FO2016_e2b","FO2016_e2b_9","fire",0,"Aloud",2,2042,"Include",234
"FO2016_e2b","FO2016_e2b_9","vision",0,"Aloud",4,5890,"Include",235
"FO2016_e2b","FO2016_e2b_9","competition",0,"Aloud",2,1986,"Include",236
"FO2016_e2b","FO2016_e2b_9","judge",0,"Aloud",2,1762,"Include",237
"FO2016_e2b","FO2016_e2b_9","procession",0,"Aloud",1,2434,"Include",238
"FO2016_e2b","FO2016_e2b_10","love",1,"Aloud",6,3354,"Include",1
"FO2016_e2b","FO2016_e2b_10","banker",1,"Aloud",5,2090,"Include",2
"FO2016_e2b","FO2016_e2b_10","assault",0,"Aloud",1,2410,"Include",3
