"exp","id","isold","rating","RT","excluding","trial","condition1"
"KL2012_e2","KL2012_e2_43",0,2,944,"Include",74,"Block1"
"KL2012_e2","KL2012_e2_43",0,1,1183,"Include",75,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,1442,"Include",76,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1007,"Include",77,"Block1"
"KL2012_e2","KL2012_e2_43",1,3,2998,"Include",78,"Block1"
"KL2012_e2","KL2012_e2_43",1,2,1433,"Include",79,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1127,"Include",80,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,2147,"Include",81,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1365,"Include",82,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,9728,"Include",83,"Block1"
"KL2012_e2","KL2012_e2_43",0,3,1522,"Include",84,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1775,"Include",85,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1245,"Include",86,"Block1"
"KL2012_e2","KL2012_e2_43",0,1,1503,"Include",87,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1019,"Include",88,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,881,"Include",89,"Block1"
"KL2012_e2","KL2012_e2_43",1,2,2002,"Include",90,"Block1"
"KL2012_e2","KL2012_e2_43",1,2,790,"Include",91,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,4206,"Include",92,"Block1"
"KL2012_e2","KL2012_e2_43",0,1,1250,"Include",93,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,680,"Include",94,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,968,"Include",95,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,912,"Include",96,"Block1"
"KL2012_e2","KL2012_e2_44",1,1,3231,"Include",1,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,2664,"Include",2,"Block1"
"KL2012_e2","KL2012_e2_44",0,1,2428,"Include",3,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,2899,"Include",4,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,3603,"Include",5,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,3220,"Include",6,"Block1"
"KL2012_e2","KL2012_e2_44",0,1,1703,"Include",7,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,3017,"Include",8,"Block1"
"KL2012_e2","KL2012_e2_44",0,5,2792,"Include",9,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,3237,"Include",10,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,3036,"Include",11,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,2188,"Include",12,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,2326,"Include",13,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,2607,"Include",14,"Block1"
