"exp","id","isold","condition1","rating","RT","excluding","trial"
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,1050,"Include",67
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1000,"Include",68
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1250,"Include",69
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,900,"Include",70
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1250,"Include",71
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,1300,"Include",72
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,750,"Include",73
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,850,"Include",74
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1150,"Include",75
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1150,"Include",76
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1267,"Include",77
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1267,"Include",78
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,850,"Include",79
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,900,"Include",80
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,700,"Include",81
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,450,"Include",82
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1550,"Include",83
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1600,"Include",84
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,750,"Include",85
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,850,"Include",86
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1550,"Include",87
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,950,"Include",88
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,500,"Include",89
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1050,"Include",90
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1350,"Include",91
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1100,"Include",92
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,800,"Include",93
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1000,"Include",94
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,2650,"Include",95
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,950,"Include",96
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,1150,"Include",97
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1550,"Include",98
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",6,1400,"Include",99
