"exp","id","item","trial","isold","condition1","rating","excluding"
"MKG2019_e1","MKG2019_e1_2","REGULATIONS",1,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","DEPRESSION",2,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","BIBLE",3,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","CONTRACT",4,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","CURFEW",5,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","GAS",6,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","SILVER",7,1,"Rep1",2,"Include"
"MKG2019_e1","MKG2019_e1_2","BAZAAR",8,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","AMAZON",9,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","ROMAN",10,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","FORMULA",11,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","BEAR",12,0,"New",3,"Include"
"MKG2019_e1","MKG2019_e1_2","COVER",13,0,"New",3,"Include"
"MKG2019_e1","MKG2019_e1_2","POCKET",14,1,"Rep1",2,"Include"
"MKG2019_e1","MKG2019_e1_2","SOLE",15,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","SMOKE",16,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","COPY",17,1,"Rep3",2,"Include"
"MKG2019_e1","MKG2019_e1_2","ALIENS",18,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","APPRENTICE",19,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","VAN",20,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","EXAM",21,0,"New",6,"Include"
"MKG2019_e1","MKG2019_e1_2","STUDY",22,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","ANIMALS",23,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","FAX",24,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","CAN",25,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","STAR",26,1,"Rep1",1,"Include"
"MKG2019_e1","MKG2019_e1_2","MAIL",27,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","FIFTY",28,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","REASON",29,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","BOWL",30,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","VETERAN",31,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","BODY",32,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","UNDERSTANDING",33,1,"Rep1",5,"Include"
"MKG2019_e1","MKG2019_e1_2","SCREEN",34,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","CLAIMS",35,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","PROTEIN",36,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","AFRICA",37,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","AIRPORT",38,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","ART",39,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","FOAM",40,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","ALLIANCE",41,0,"New",4,"Include"
"MKG2019_e1","MKG2019_e1_2","BORDER",42,1,"Rep1",3,"Include"
"MKG2019_e1","MKG2019_e1_2","MEETING",43,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","MATE",44,0,"New",6,"Include"
"MKG2019_e1","MKG2019_e1_2","SONG",45,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","MOUTH",46,0,"New",6,"Include"
"MKG2019_e1","MKG2019_e1_2","COTTON",47,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","LIBRARY",48,1,"Rep3",2,"Include"
"MKG2019_e1","MKG2019_e1_2","RED",49,0,"New",3,"Include"
"MKG2019_e1","MKG2019_e1_2","GRASS",50,0,"New",3,"Include"
"MKG2019_e1","MKG2019_e1_2","STORY",51,0,"New",5,"Include"
"MKG2019_e1","MKG2019_e1_2","ANNIVERSARY",52,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","UPSTAIRS",53,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","AFTERNOON",54,0,"New",2,"Include"
"MKG2019_e1","MKG2019_e1_2","GRAIN",55,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","DRINK",56,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","TRAY",57,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","DEMANDS",58,0,"New",3,"Include"
"MKG2019_e1","MKG2019_e1_2","ECLIPSE",59,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","ATMOSPHERE",60,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","KINGDOM",61,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","CONSTITUTION",62,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","GUM",63,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","TISSUE",64,1,"Rep1",1,"Include"
"MKG2019_e1","MKG2019_e1_2","AREA",65,1,"Rep3",4,"Include"
"MKG2019_e1","MKG2019_e1_2","CIGARETTE",66,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","COMPONENT",67,1,"Rep1",2,"Include"
"MKG2019_e1","MKG2019_e1_2","CLAY",68,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","STATISTICS",69,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","WORLD",70,1,"Rep3",3,"Include"
"MKG2019_e1","MKG2019_e1_2","BLOCK",71,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","VIOLATION",72,1,"Rep1",1,"Include"
"MKG2019_e1","MKG2019_e1_2","DARKNESS",73,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","BIRTH",74,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","BOARD",75,0,"New",4,"Include"
"MKG2019_e1","MKG2019_e1_2","REST",76,0,"New",2,"Include"
"MKG2019_e1","MKG2019_e1_2","UNDERWATER",77,1,"Rep3",1,"Include"
"MKG2019_e1","MKG2019_e1_2","FRIDAY",78,1,"Rep3",2,"Include"
"MKG2019_e1","MKG2019_e1_2","ALCOHOL",79,0,"New",2,"Include"
"MKG2019_e1","MKG2019_e1_2","BENEFIT",80,1,"Rep3",3,"Include"
"MKG2019_e1","MKG2019_e1_2","ARTICLE",81,1,"Rep3",1,"Include"
"MKG2019_e1","MKG2019_e1_2","RANGE",82,1,"Rep3",2,"Include"
"MKG2019_e1","MKG2019_e1_2","DOUBT",83,0,"New",2,"Include"
"MKG2019_e1","MKG2019_e1_2","BENCH",84,0,"New",2,"Include"
"MKG2019_e1","MKG2019_e1_2","RISK",85,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","FIVE",86,1,"Rep3",2,"Include"
"MKG2019_e1","MKG2019_e1_2","TEETH",87,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","HOME",88,1,"Rep3",6,"Include"
"MKG2019_e1","MKG2019_e1_2","EVENING",89,1,"Rep1",6,"Include"
"MKG2019_e1","MKG2019_e1_2","CUP",90,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","EDUCATION",91,1,"Rep3",3,"Include"
"MKG2019_e1","MKG2019_e1_2","COUNSELOR",92,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","APPLE",93,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","LASER",94,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","BREW",95,0,"New",2,"Include"
"MKG2019_e1","MKG2019_e1_2","AUTO",96,0,"New",1,"Include"
"MKG2019_e1","MKG2019_e1_2","BARRIER",97,0,"New",2,"Include"
