"exp","id","trial","isold","rating","excluding"
"NFR2013_e3","NFR2013_e3_1",1,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",2,1,1,"Include"
"NFR2013_e3","NFR2013_e3_1",3,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",4,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",5,1,1,"Include"
"NFR2013_e3","NFR2013_e3_1",6,0,5,"Include"
"NFR2013_e3","NFR2013_e3_1",7,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",8,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",9,1,2,"Include"
"NFR2013_e3","NFR2013_e3_1",10,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",11,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",12,0,4,"Include"
"NFR2013_e3","NFR2013_e3_1",13,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",14,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",15,1,1,"Include"
"NFR2013_e3","NFR2013_e3_1",16,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",17,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",18,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",19,0,3,"Include"
"NFR2013_e3","NFR2013_e3_1",20,0,5,"Include"
"NFR2013_e3","NFR2013_e3_1",21,1,2,"Include"
"NFR2013_e3","NFR2013_e3_1",22,0,3,"Include"
"NFR2013_e3","NFR2013_e3_1",23,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",24,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",25,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",26,1,2,"Include"
"NFR2013_e3","NFR2013_e3_1",27,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",28,0,4,"Include"
"NFR2013_e3","NFR2013_e3_1",29,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",30,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",31,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",32,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",33,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",34,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",35,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",36,0,3,"Include"
"NFR2013_e3","NFR2013_e3_1",37,0,3,"Include"
"NFR2013_e3","NFR2013_e3_1",38,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",39,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",40,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",41,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",42,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",43,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",44,0,3,"Include"
"NFR2013_e3","NFR2013_e3_1",45,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",46,0,5,"Include"
"NFR2013_e3","NFR2013_e3_1",47,0,6,"Include"
"NFR2013_e3","NFR2013_e3_1",48,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",49,1,2,"Include"
"NFR2013_e3","NFR2013_e3_1",50,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",51,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",52,0,5,"Include"
"NFR2013_e3","NFR2013_e3_1",53,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",54,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",55,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",56,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",57,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",58,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",59,0,6,"Include"
"NFR2013_e3","NFR2013_e3_1",60,0,3,"Include"
"NFR2013_e3","NFR2013_e3_1",61,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",62,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",63,0,3,"Include"
"NFR2013_e3","NFR2013_e3_1",64,0,4,"Include"
"NFR2013_e3","NFR2013_e3_1",65,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",66,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",67,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",68,0,4,"Include"
"NFR2013_e3","NFR2013_e3_1",69,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",70,0,4,"Include"
"NFR2013_e3","NFR2013_e3_1",71,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",72,0,4,"Include"
"NFR2013_e3","NFR2013_e3_1",73,1,2,"Include"
"NFR2013_e3","NFR2013_e3_1",74,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",75,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",76,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",77,0,3,"Include"
"NFR2013_e3","NFR2013_e3_1",78,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",79,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",80,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",81,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",82,1,2,"Include"
"NFR2013_e3","NFR2013_e3_1",83,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",84,0,5,"Include"
"NFR2013_e3","NFR2013_e3_1",85,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",86,0,5,"Include"
"NFR2013_e3","NFR2013_e3_1",87,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",88,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",89,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",90,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",91,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",92,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",93,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",94,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",95,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",96,1,6,"Include"
