"exp","id","isold","condition","rating","RT","excluding"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,4575,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,1074,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",1,1735,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,1183,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,869,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,707,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,679,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,1545,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,1584,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,1228,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,1313,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,1182,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,799,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,749,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,2627,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,1244,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",6,2391,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,1800,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",6,1019,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,1116,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,702,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",6,1216,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,3627,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,2357,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",6,1251,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,849,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",3,3779,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,888,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,2426,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,645,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",6,915,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,1731,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,939,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,1141,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,796,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,3592,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,641,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",4,3897,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",6,1325,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,1939,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,2078,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,699,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",6,641,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",6,1128,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",1,1317,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",6,680,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,729,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,1668,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",1,1387,"Include"
"GKH1999_e2","GKH1999_e2_1",0,"New",4,2473,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Long",1,2653,"Include"
"GKH1999_e2","GKH1999_e2_1",1,"Short",6,1507,"Include"
