"exp","id","isold","rating","excluding"
"JWH2009_e1","JWH2009_e1_1",1,1,"Include"
"JWH2009_e1","JWH2009_e1_1",1,1,"Include"
"JWH2009_e1","JWH2009_e1_1",1,1,"Include"
"JWH2009_e1","JWH2009_e1_1",1,2,"Include"
"JWH2009_e1","JWH2009_e1_1",1,2,"Include"
"JWH2009_e1","JWH2009_e1_1",1,2,"Include"
"JWH2009_e1","JWH2009_e1_1",1,2,"Include"
"JWH2009_e1","JWH2009_e1_1",1,2,"Include"
"JWH2009_e1","JWH2009_e1_1",1,2,"Include"
"JWH2009_e1","JWH2009_e1_1",1,2,"Include"
"JWH2009_e1","JWH2009_e1_1",1,3,"Include"
"JWH2009_e1","JWH2009_e1_1",1,3,"Include"
"JWH2009_e1","JWH2009_e1_1",1,3,"Include"
"JWH2009_e1","JWH2009_e1_1",1,4,"Include"
"JWH2009_e1","JWH2009_e1_1",1,4,"Include"
"JWH2009_e1","JWH2009_e1_1",1,4,"Include"
"JWH2009_e1","JWH2009_e1_1",1,5,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
"JWH2009_e1","JWH2009_e1_1",1,6,"Include"
