"exp","id","item","trial","isold","condition1","rating","excluding"
"WHD2018_e1","WHD2018_e1_103","smaak",1066,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","klarinet",1067,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","gorilla",1068,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","datum",1069,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","residu",1070,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","helft",1071,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","elektriciteit",1072,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","bende",1073,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","leger",1074,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","zonlicht",1075,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","groep",1076,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","telefoon",1077,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","mus",1078,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","navel",1079,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","klopper",1080,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","gracht",1081,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","haak",1082,1,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","bijenkorf",1083,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","volume",1084,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","dok",1085,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","val",1086,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","sprinkhaan",1087,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","harnas",1088,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","mier",1089,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","naald",1090,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","trip",1091,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","machine",1092,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","ligbed",1093,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","mist",1094,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","onkruid",1095,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","rijkdom",1096,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","plug",1097,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","schil",1098,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","delta",1099,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","polka",1100,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","toren",1101,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","handschoen",1102,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","grind",1103,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","lijfeigene",1104,1,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","thermometer",1105,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","malaria",1106,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","zak",1107,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","vlinder",1108,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","uitvoering",1109,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","staart",1110,1,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","tuimeling",1111,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","landhuis",1112,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","bot",1113,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","nectar",1114,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","patroon",1115,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","gil",1116,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","verrassing",1117,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","hoofddoek",1118,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","oogwenk",1119,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","kardinaal",1120,0,"Vertex",1,"Include"
