"exp","id","block","isold","condition1","condition2","rating","RT","excluding","trial"
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",1,23,"Exclude",1
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",1,1738,"Exclude",2
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",1,2976,"Exclude",3
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",16,2831,"Exclude",4
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",19,3261,"Exclude",5
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",20,1008,"Exclude",6
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",20,809,"Exclude",7
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",9,3093,"Exclude",8
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",4,1861,"Exclude",9
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",20,1482,"Exclude",10
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",20,714,"Exclude",11
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",5,1630,"Exclude",12
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",4,1503,"Exclude",13
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",10,2766,"Exclude",14
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",10,1493,"Exclude",15
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",18,4482,"Exclude",16
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",3,2810,"Exclude",17
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",15,3557,"Exclude",18
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",2,1694,"Exclude",19
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",6,1734,"Exclude",20
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",6,1294,"Exclude",21
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",1,1652,"Exclude",22
"SWR2012_e2","SWR2012_e2_1",1,1,"pure","Strong",20,1367,"Exclude",23
"SWR2012_e2","SWR2012_e2_1",1,0,"pure","Strong",12,3915,"Exclude",24
"SWR2012_e2","SWR2012_e2_1",2,0,"pure","Weak",17,3411,"Exclude",1
"SWR2012_e2","SWR2012_e2_1",2,1,"pure","Weak",13,3925,"Exclude",2
"SWR2012_e2","SWR2012_e2_1",2,0,"pure","Weak",3,1998,"Exclude",3
"SWR2012_e2","SWR2012_e2_1",2,0,"pure","Weak",2,1597,"Exclude",4
"SWR2012_e2","SWR2012_e2_1",2,0,"pure","Weak",2,2935,"Exclude",5
