"exp","id","isold","rating","excluding"
"SD2004_e2","SD2004_e2_1",1,1,"Include"
"SD2004_e2","SD2004_e2_1",1,1,"Include"
"SD2004_e2","SD2004_e2_1",1,2,"Include"
"SD2004_e2","SD2004_e2_1",1,2,"Include"
"SD2004_e2","SD2004_e2_1",1,2,"Include"
"SD2004_e2","SD2004_e2_1",1,2,"Include"
"SD2004_e2","SD2004_e2_1",1,2,"Include"
"SD2004_e2","SD2004_e2_1",1,2,"Include"
"SD2004_e2","SD2004_e2_1",1,2,"Include"
"SD2004_e2","SD2004_e2_1",1,2,"Include"
"SD2004_e2","SD2004_e2_1",1,2,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,3,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,4,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,5,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
"SD2004_e2","SD2004_e2_1",1,6,"Include"
