"exp","id","isold","condition","rating","RT","excluding"
"GKH1999_e4","GKH1999_e4_1",0,"New",1,2990,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1867,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",4,4119,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",5,2171,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,2308,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",6,1627,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",1,1580,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",1,1242,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",1,824,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,2072,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",2,2844,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",6,1233,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1785,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",2,1194,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",2,894,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,873,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1126,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1129,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",6,1676,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",3,1481,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,2011,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",2,1198,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,801,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",1,1264,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",6,1801,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",6,1175,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",2,1369,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",2,1561,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",6,1276,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",2,1600,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1515,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,820,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",6,1789,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",1,1256,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",1,1214,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",1,941,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",6,1326,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",2,1508,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",4,2794,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",1,2725,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",1,940,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",4,2288,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",5,1754,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1612,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",1,1218,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1384,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1025,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",6,2048,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",4,2063,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",6,1418,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",6,936,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",6,1499,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",2,1226,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",2,1168,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",6,1325,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",2,1647,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",5,1291,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",6,1395,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",6,1241,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",6,757,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",5,1487,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1682,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1562,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",3,2164,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",6,1261,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",6,920,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep2",5,1627,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",4,1638,"Include"
"GKH1999_e4","GKH1999_e4_1",1,"Rep1",4,1245,"Include"
"GKH1999_e4","GKH1999_e4_1",0,"New",2,1264,"Include"
